date,season,home_team,away_team,pts_home,pts_away,home_team_wins
2021-07-20,2020,Milwaukee Bucks,Phoenix Suns,105,98,TRUE
2021-07-17,2020,Phoenix Suns,Milwaukee Bucks,119,123,FALSE
2021-07-14,2020,Milwaukee Bucks,Phoenix Suns,109,103,TRUE
2021-07-11,2020,Milwaukee Bucks,Phoenix Suns,120,100,TRUE
2021-07-08,2020,Phoenix Suns,Milwaukee Bucks,118,108,TRUE
2021-07-06,2020,Phoenix Suns,Milwaukee Bucks,118,105,TRUE
2021-07-03,2020,Atlanta Hawks,Milwaukee Bucks,107,118,FALSE
2021-07-01,2020,Milwaukee Bucks,Atlanta Hawks,123,112,TRUE
2021-06-30,2020,Los Angeles Clippers,Phoenix Suns,103,130,FALSE
2021-06-29,2020,Atlanta Hawks,Milwaukee Bucks,110,88,TRUE
2021-06-28,2020,Phoenix Suns,Los Angeles Clippers,102,116,FALSE
2021-06-27,2020,Atlanta Hawks,Milwaukee Bucks,102,113,FALSE
2021-06-26,2020,Los Angeles Clippers,Phoenix Suns,80,84,FALSE
2021-06-25,2020,Milwaukee Bucks,Atlanta Hawks,125,91,TRUE
2021-06-24,2020,Los Angeles Clippers,Phoenix Suns,106,92,TRUE
2021-06-23,2020,Milwaukee Bucks,Atlanta Hawks,113,116,FALSE
2021-06-22,2020,Phoenix Suns,Los Angeles Clippers,104,103,TRUE
2021-06-20,2020,Phoenix Suns,Los Angeles Clippers,120,114,TRUE
2021-06-20,2020,Philadelphia 76ers,Atlanta Hawks,96,103,FALSE
2021-06-19,2020,Brooklyn Nets,Milwaukee Bucks,111,115,FALSE
2021-06-18,2020,Atlanta Hawks,Philadelphia 76ers,99,104,FALSE
2021-06-18,2020,Los Angeles Clippers,Utah Jazz,131,119,TRUE
2021-06-17,2020,Milwaukee Bucks,Brooklyn Nets,104,89,TRUE
2021-06-16,2020,Philadelphia 76ers,Atlanta Hawks,106,109,FALSE
2021-06-16,2020,Utah Jazz,Los Angeles Clippers,111,119,FALSE
2021-06-15,2020,Brooklyn Nets,Milwaukee Bucks,114,108,TRUE
2021-06-14,2020,Atlanta Hawks,Philadelphia 76ers,103,100,TRUE
2021-06-14,2020,Los Angeles Clippers,Utah Jazz,118,104,TRUE
2021-06-13,2020,Milwaukee Bucks,Brooklyn Nets,107,96,TRUE
2021-06-13,2020,Denver Nuggets,Phoenix Suns,118,125,FALSE
2021-06-12,2020,Los Angeles Clippers,Utah Jazz,132,106,TRUE
2021-06-11,2020,Atlanta Hawks,Philadelphia 76ers,111,127,FALSE
2021-06-11,2020,Denver Nuggets,Phoenix Suns,102,116,FALSE
2021-06-10,2020,Milwaukee Bucks,Brooklyn Nets,86,83,TRUE
2021-06-10,2020,Utah Jazz,Los Angeles Clippers,117,111,TRUE
2021-06-09,2020,Phoenix Suns,Denver Nuggets,123,98,TRUE
2021-06-08,2020,Philadelphia 76ers,Atlanta Hawks,118,102,TRUE
