lga,lga_name,metro_rural,dh_region,area_of_lga_sq_km,asgc_code,most_populpus_community,distance_to_melbourne,travel_time_to_melbourne,remoteness_area,aria_measures_low_avg_high,business,industrial,residential,rural,other,per_annum_population_change_2000_2010,per_annum_projected_population_change_2010_2022,erp_2010_females_0_14,erp_2010_females_15_24,erp_2010_females_25_44,erp_2010_females_45_64,erp_2010_females_65_84,erp_2010_females_85,erp_2010_females_total,erp_2010_males_0_14,erp_2010_males_15_24,erp_2010_males_25_44,erp_2010_males_45_64,erp_2010_males_65_84,erp_2010_males_85,erp_2010_males_total,erp_2010_total_0_14,erp_2010_total_15_24,erp_2010_total_25_44,erp_2010_total_45_64,erp_2010_total_65_84,erp_2010_total_85,erp_2010_total,erp_2010_0_14,erp_2010_15_24,erp_2010_25_44,erp_2010_45_64,erp_2010_65_84,erp_2010_85,total_fertility_rate,rank_total_fertility_rate,atsi_population,rank_atsi_population,born_overseas,rank_born_overseas,speak_lote_at_home,rank_lote,low_english_proficiency,rank_low_english_proficiency,anglo_saxon_celtic_background,rank_anglo_saxon_celtic,new_settler_arrivals_per_100_000_population,rank_new_settler_arrivals,humanitarian_arrivals,rank_humanitarian_arrivals,believe_multiculturalism_makes_life_better,rank_believe_multiculturalism_makes_life_better,irsed,rank_irsed,households_with_internet_connected,rank_households_with_internet_connected,gaming_machine_losses_per_head_of_population,rank_gaming_machine_losses,family_incidents_per_1_000_population,rank_family_incidents_per_1_000_population,drug_usage_possession_offences_per_1_000_population,rank_drug_usage_possession_offences_per_1_000_population,total_offences_per_1_000_population,rank_total_offences_per_1_000_population,who_feel_safe_on_street_after_dark,rank_feel_safe_on_street_after_dark,of_population_which_volunteers,rank_population_which_volunteers,of_population_with_membership_of_organised_groups,rank_membership_of_organised_groups,of_parents_who_participate_in_schools,rank_parents_who_participate_in_schools,of_population_who_believe_the_area_has_good_facilities_and_se,rank_believe_the_area_has_good_facilities_and_services,unemployment_rate,rank_unemployment_rate,of_persons_with_individual_income_400_per_week,rank_individual_income_400,female_low_income,male_low_income,families_headed_by_one_parent,rank_one_parent_families,female_one_parent_families,male_one_parent_families,of_households_with_income_650_per_week,rank_households_with_income_650_per_week,low_income_families_with_children,rank_low_income_families_with_children,population_with_food_insecurity,rank_population_with_food_insecurity,of_households_with_housing_costs_40_of_income,rank_households_with_housing_costs_40_of_income,of_rental_housing_that_is_affordable,rank_rental_housing_that_is_affordable,median_house_price,rank_median_house_price,median_rent_for_3_bedroom_house,rank_median_rent_for_3_bedroom_house,new_dwellings_per_1_000_population,rank_new_dwellings_per_1_000_population,social_housing_as_a_percentage_of_total_dwellings,rank_social_housing_as_a_percentage_of_total_dwellings,dwellings_with_no_motor_vehicle,rank_dwellings_with_no_motor_vehicle,passenger_vehicles_per_1_000_population,rank_passenger_vehicles_per_1_000_population,motor_vehicles_more_than_ten_years_old,rank_motor_vehicles_more_than_ten_years_old,household_recycling_diversion_rate,rank_household_recycling_diversion_rate,household_garbage_yield_kg,rank_household_garbage_yield,fte_students,year_9_students_who_attain_tiol_minimum_standards_in_read,rank_year_9_students_who_attain_tiol_minimum_standards_in_r,year_9_students_who_attain_tiol_minimum_standards_in_writ,rank_year_9_students_who_attain_tiol_minimum_standards_in_w,year_9_students_who_attain_tiol_minimum_standards_in_nume,rank_year_9_students_who_attain_tiol_minimum_standards_in_n,of_population_who_did_not_complete_year_12,rank_population_who_did_not_complete_year_12,of_population_with_higher_education_qualification,rank_population_with_higher_education_qualification,students_attending_a_government_school,rank_students_attending_a_government_school,low_birth_weight_babies,rank_low_birth_weight_babies,persons_reporting_asthma,rank_persons_reporting_asthma,persons_reporting_type_2_diabetes,rank_persons_reporting_type_2_diabetes,asthma_admission_rate_ratio,rank_asthma_admission_rate_ratio,diabetes_complications_admission_rate_ratio,rank_diabetes_complications_admission_rate_ratio,persons_overweight_or_obese,rank_persons_overweight_or_obese,females_overweight_or_obese,rank_females_overweight_or_obese,males_overweight_or_obese,rank_males_overweight_or_obese,cancer_incidence_per_100_000_population,cancer_incidence___females_per_100_000,cancer_incidence___males_per_100_000,acsc_acute_per_1_000_population,rank_acsc_acute,acsc_chronic_per_1_000_population,rank_acsc_chronic,acsc_vaccine_preventablem_per_1_000_population,rank_acsc_vaccine_preventable,notifications_per_1_000_people_of_pertussis,rank_pertussis_notifications,notifications_per_1_000_people_of_influenza,rank_influenza_notifications,notifications_per_1_000_people_of_chlamydia,rank_chlamydia_notifications
Alpine ,ALPINE,Rural,Hume,4786.964482,20110,Myrtleford,274.8,212.2,Accessible,(1.62 / 3.06 / 4.52),<1%,<1%,<1%,17.80%,81.90%,-3.89E-05,0.002450948,1105,552,1308,1977,1216,232,6390,1137,652,1377,2048,1132,130,6476,2242,1204,2685,4025,2348,362,12866,0.174257734,0.093579978,0.208689569,0.312840044,0.182496502,0.028136173,2.07,32,0.005963907,48,0.157154234,31,0.094,30,0.013925152,31,0.743696894,54,93.2690813,46,0.166666667,9,0.7764,22,989.39,36,0.53600174,48,308.9194678,51,3.730763252,69,1.214036997,50,30.16072594,74,0.7497,11,0.314876584,21,0.66,35,0.5151,47,0.7771,48,4.9038349,41,0.523364486,19,0.600630252,0.399369748,0.124144368,58,0.784461153,0.215538847,0.424966201,17,0.070037279,58,0.074,21,0.064607353,56,0.819672131,17,241000,52,230,58,6.762008394,44,0.019198859,61,0.065128901,46,595.2688559,36,0.559986851,27,0.308028969,61,410.7607699,60,1705.8,0.921259843,38,0.905511811,23,0.967741935,18,0.654545455,34,0.292140921,40,0.757983193,18,0.067669173,29,0.073205,77,0.037372,52,0.5,77,0.75,70,0.559862,21,0.519457,6,0.621227,27,715.0629566,594.6791862,833.8480544,11.50318669,60,19.35333437,45,0.854966579,23,1.010415047,48,0.310896938,38,2.020830095,57
Ararat ,ARARAT,Rural,Grampians,4210.401781,20260,Ararat,197.5,154.9,Accessible,(1.48 / 2.65 / 3.75),<1%,<1%,<1%,86.80%,12.90%,0.002863478,0.007970283,1060,574,1361,1715,998,193,5901,1006,741,1445,1829,1011,93,6125,2066,1315,2806,3544,2009,286,12026,0.171794445,0.109346416,0.23332779,0.294694828,0.167054715,0.023781806,2.14,22,0.00754717,33,0.073132104,64,0.02,67,0.00291326,62,0.87128304,14,124.7297522,36,0,,0.5995,61,956.27,11,0.498609824,61,552.9145108,38,10.39414602,14,3.059778813,11,72.83347747,19,0.6552,40,0.332674735,15,0.6248,52,0.511,48,0.8208,33,5.724735629,22,0.514080215,22,0.604458146,0.395541854,0.135604542,47,0.865196078,0.134803922,0.425102188,16,0.092064128,36,0.126,1,0.048424467,71,0.819277108,18,170000,69,235,55,3.492433062,68,0.034562647,40,0.085527905,24,516.4642525,77,0.585831261,13,0.261164438,70,499.9337748,28,1918,0.887573964,64,0.83625731,65,0.947368421,39,0.690461385,19,0.24956125,68,0.748855835,20,0.04822335,74,0.097383,53,0.048428,32,1.21,20,1.15,21,0.591836,6,0.502095,10,0.626992,26,773.3244637,762.5826131,783.6734694,14.80126393,25,29.76883419,13,0.665225345,39,0.498919009,74,0.166306336,59,2.161982372,52
Ballarat ,BALLARAT,Rural,Grampians,738.8609195,20570,Wendouree,110.5,87.2,Highly Accessible,(0.21 / 0.54 / 1.20),<1%,1.40%,8%,73.70%,16.60%,0.015268392,0.015065311,8937,7656,12873,11995,6657,1330,49448,9236,8086,12350,11126,5240,611,46649,18173,15742,25223,23121,11897,1941,96097,0.189111002,0.163813647,0.262474375,0.240600643,0.123801992,0.020198341,1.89,55,0.010593436,18,0.082799691,59,0.034,47,0.004640314,42,0.855593818,20,144.6455144,32,0.079136691,16,0.6825,44,982.74,32,0.545218425,45,756.3956805,13,11.51961039,10,1.610847373,33,87.25949613,9,0.5637,61,0.233127258,42,0.6387,46,0.4699,57,0.8339,31,7.106465389,7,0.49646292,32,0.619404419,0.380595581,0.186075198,6,0.851178782,0.148821218,0.370102959,37,0.121804769,12,0.073,22,0.081229075,29,0.555410691,37,262877,46,267.5,42,10.67671207,19,0.063062957,10,0.092806061,15,587.6514262,40,0.520824328,44,0.331104894,52,433.6963171,50,18785.6,0.896419437,56,0.869395712,44,0.916879795,60,0.595152559,47,0.368235846,22,0.594693908,66,0.07894018,7,0.154286,4,0.050432,27,0.69,68,0.99,38,0.49976,50,0.43109,49,0.558139,56,540.0792949,459.068112,625.951253,15.4739482,20,18.41888925,55,0.832492169,26,2.299759618,14,0.405839933,27,3.350780982,13
Banyule ,BANYULE,Metro,North & West Metropolitan,62.53327092,20660,Greensborough,20.1,30.9,Highly Accessible,(0.00 / 0.00 / 0.00),1.30%,2.10%,68%,2.60%,25.90%,0.004697846,0.005200666,10197,7961,17533,16494,8700,1991,62876,11179,8875,17968,15006,7336,1009,61373,21376,16836,35501,31500,16036,3000,124249,0.172041626,0.135502097,0.285724634,0.253523167,0.129063413,0.024145064,1.84,60,0.004758188,56,0.208490627,26,0.177,24,0.023824826,25,0.669382183,56,327.5680287,24,0.027027027,29,0.8025,15,1047.4,65,0.643915645,21,601.2545016,33,6.269668166,44,1.489318224,41,51.87357886,45,0.6631,39,0.197261407,61,0.5851,61,0.5749,24,0.9169,10,3.04474805,73,0.428829199,67,0.634833555,0.365166445,0.155898291,27,0.833847419,0.166152581,0.263060293,65,0.063210094,66,0.047,54,0.069757499,49,0.02757158,67,580000,17,358.8,17,4.072467384,64,0.050384449,20,0.078762755,28,588.5665301,39,0.466314781,61,0.529380625,7,399.0215755,63,22027,0.944323144,20,0.918859649,16,0.962861824,24,0.462966586,64,0.485551827,15,0.608314031,61,0.066875,31,0.122376,22,0.034962,58,0.8,62,1.11,24,0.496025,53,0.422082,51,0.590479,40,552.9219551,520.0712514,586.5771593,13.36831685,44,17.82710525,60,0.788738742,30,1.706251157,25,0.474852916,15,3.002036234,21
Barwon-South Western,BARWON-SOUTH WESTERN,,,29131.91551,NA,,,,NA,,<1%,<1%,<1%,79.90%,19%,0.01203194,0.013560956,34311,24400,47875,50134,28473,5756,190949,36520,26788,47818,48812,24763,3074,187775,70831,51188,95693,98946,53236,8830,378724,0.18702538,0.135159113,0.252672131,0.261261499,0.140566745,0.023315132,,5,0.008595569,5,0.128035648,4,0.064,4,0.010454958,4,0.803945308,5,138.887422,4,0.203422053,2,0.6917,4,,,0.550607699,4,572.462264,4,6.857236404,7,1.228708241,7,57.93695224,7,0.6612,2,0.247313417,5,0.6677,1,0.457,6,0.8343,1,5.380149846,4,0.487943555,4,0.63089542,0.36910458,0.15608259,2,0.834448278,0.165551722,0.35956991,5,0.091903285,6,0.043,8,0.071465954,6,,,,,297,4,8.214425281,6,0.042224954,6,0.076239726,3,591.9307232,5,0.524315853,5,0.439179396,2,408.4616305,7,62148.1,0.918740366,3,0.873631187,4,0.944188091,3,0.620372343,5,0.322612986,4,0.657937118,5,0.063014734,7,0.102,7,0.046,5,1.11,1,0.85,5,0.536,3,0.471,3,0.605,4,610.4709498,527.3659459,694.980695,15.9007615,1,20.7169337,5,0.726122453,3,2.004097971,2,0.316853434,5,3.036679897,3
Bass Coast ,BASS COAST,Rural,Gippsland,865.0992218,20740,Wonthaggi,131,102.3,Highly Accessible,(1.09 / 1.42 / 2.03),<1%,<1%,4.30%,85.30%,10.20%,0.023545056,0.023743338,2499,1490,3449,4634,3225,512,15809,2467,1649,3433,4306,3037,273,15165,4966,3139,6882,8940,6262,785,30974,0.160328017,0.101343062,0.22218635,0.288629173,0.202169562,0.025343837,1.95,48,0.006472257,44,0.155193013,32,0.041,42,0.004239855,44,0.822844792,34,100.0839414,44,0.096774194,15,0.6329,55,978.69,28,0.501237859,60,747.9082614,14,8.00671531,28,1.508093885,39,62.13290825,34,0.7465,13,0.266254995,36,0.6901,19,0.5546,33,0.6713,68,5.083692897,36,0.553912068,8,0.60092081,0.39907919,0.143102461,39,0.82982983,0.17017017,0.479230693,7,0.109610817,20,0.061,34,0.085379783,24,0.340909091,46,330000,36,330,24,19.27423,8,0.02620239,49,0.073576264,37,620.6092271,18,0.553565832,30,0.312579416,58,277.0222222,77,4001.9,0.933070866,30,0.882352941,33,0.959183673,28,0.667586997,27,0.267306197,55,0.723142857,25,0.073684211,14,0.121849,26,0.055591,18,1.08,33,0.94,42,0.51105,44,0.39238,59,0.545455,60,778.0719313,683.1551648,877.0194527,11.52579583,59,25.8281139,22,0.645702848,43,1.711112546,24,0.258281139,45,2.485955963,38
Baw Baw ,BAW BAW,Rural,Gippsland,4031.282878,20830,Warragul,102.5,79.3,Highly Accessible,(0.64 / 1.83 / 3.83),<1%,<1%,1%,40.30%,58.60%,0.017875539,0.021557653,4073,2865,5237,6038,3097,533,21843,4320,2956,4990,5703,2840,269,21078,8393,5821,10227,11741,5937,802,42921,0.195545304,0.135621258,0.23827497,0.273549079,0.138323897,0.018685492,2.18,17,0.00992228,21,0.103110909,49,0.03,51,0.003567745,51,0.826741376,32,51.25696046,67,0.045454545,23,0.5736,66,1000.77,47,0.575385071,35,400.6032114,46,7.362363412,29,1.417052259,44,44.59512593,54,0.6386,46,0.279847965,32,0.6395,45,0.5053,49,0.808,37,4.06639255,57,0.488681412,39,0.630174375,0.369825625,0.146433915,37,0.832653061,0.167346939,0.35796198,39,0.094466727,32,0.056,41,0.068883786,50,0.615079365,35,265000,45,260,43,16.61191491,13,0.02946995,45,0.053413376,58,612.119014,28,0.544696988,35,0.462907535,19,415.7062364,56,8438.9,0.940397351,25,0.865965834,48,0.952879581,32,0.664946526,29,0.287300865,45,0.662580356,45,0.080892608,6,0.125748,18,0.035131,57,1.37,9,0.77,66,0.512713,43,0.480282,24,0.56458,53,526.5487757,421.1875658,635.7339406,9.99510729,75,17.87004031,59,0.396076513,73,1.561007432,27,0.326180657,36,3.587987232,9
Bayside ,BAYSIDE,Metro,Southern Metropolitan,37.20960293,20910,Brighton,11.7,18.2,Highly Accessible,(0.00 / 0.00 / 0.00),4.10%,<1%,76.10%,<1%,19.70%,0.010297545,0.005192669,9159,5872,12402,13863,7046,2200,50542,9483,6086,11541,13057,5525,1049,46741,18642,11958,23943,26920,12571,3249,97283,0.191626492,0.122919729,0.246116999,0.27671844,0.129220933,0.033397408,1.8,61,0.001689742,76,0.237954721,24,0.126,25,0.015653874,29,0.733789394,55,285.7642137,25,0.003597122,41,0.7968,17,1095.79,77,0.713286496,5,250.5094315,59,3.741660927,68,1.093985588,54,35.80394827,66,0.7006,25,0.228914363,46,0.6666,30,0.5727,25,0.9453,4,2.585144547,77,0.373549133,75,0.654287365,0.345712635,0.126086398,55,0.844640434,0.155359566,0.220770091,75,0.03443807,77,0.016,79,0.074706212,43,0.006734007,76,1230000,3,600,3,6.517068758,45,0.034755694,39,0.07419303,36,602.8727835,32,0.396889114,74,0.483583183,14,472.195122,35,16415.5,0.960406091,12,0.945863126,6,0.964876033,23,0.34572336,73,0.597869102,7,0.424414375,78,0.059530968,58,0.081294,71,0.023931,76,0.91,48,0.66,74,0.408612,74,0.272533,74,0.572285,50,656.8465199,595.5442998,723.1338653,13.44530905,40,19.1811519,48,0.555081566,56,1.541893239,28,0.524243701,10,2.343677724,45
Benalla ,BENALLA,Rural,Hume,2352.070738,21010,Benalla,195.9,152.3,Accessible,(1.30 / 2.05 / 2.99),<1%,<1%,<1%,74.40%,24.70%,0.002453553,0.005831945,1169,831,1495,2252,1241,312,7300,1376,891,1416,2068,1082,160,6993,2545,1722,2911,4320,2323,472,14293,0.17805919,0.120478556,0.20366613,0.302245855,0.162527111,0.033023158,2.09,30,0.010371218,20,0.079978237,62,0.026,56,0.002669718,67,0.846047745,28,76.96075002,53,0,,0.64,51,966.79,17,0.497655224,62,468.1479407,40,10.28475478,15,2.798572728,13,62.25460015,33,0.6523,42,0.301732723,24,0.644,42,0.4339,63,0.859,23,6.585848762,12,0.507621202,23,0.623595506,0.376404494,0.152995143,28,0.818827709,0.181172291,0.407638348,20,0.109678639,19,0.084,11,0.071575792,46,0.822429907,15,221500,58,235,55,5.667109774,55,0.056611156,14,0.078603472,29,614.000035,24,0.585938051,12,0.276927132,67,510.1719677,22,2044,0.940828402,23,0.885057471,30,0.981927711,7,0.674997481,25,0.27359491,51,0.702726473,30,0.059382423,59,0.171514,1,0.05474,20,1.11,32,1.09,25,0.539362,29,0.46437,35,0.637425,19,720.6324774,506.8493151,943.8009438,15.46211432,21,27.56594137,17,1.049464773,12,0.629678864,68,0.209892955,51,1.95900091,58
Boroondara ,BOROONDARA,Metro,Eastern Metropolitan,60.1748418,21110,Glen Iris,7.3,12.1,Highly Accessible,(0.00 / 0.00 / 0.00),3.20%,<1%,75.80%,<1%,21.10%,0.008462581,0.005537085,14154,13083,23530,22434,10371,3245,86817,14963,14501,22650,20559,8595,1422,82690,29117,27584,46180,42993,18966,4667,169507,0.171774617,0.162730743,0.272437126,0.253635543,0.111889185,0.027532786,1.44,75,0.001153639,78,0.270784792,20,0.214,20,0.028466128,22,0.633410993,59,564.578454,14,0.00522466,38,0.847,6,1104.45,79,0.744025101,3,153.4116396,67,2.896635537,77,0.545468919,75,33.44867941,69,0.6757,35,0.251311365,40,0.733,7,0.5281,41,0.9506,2,3.248918644,70,0.37277803,76,0.620197711,0.379802289,0.119004919,64,0.839001291,0.160998709,0.20007326,78,0.028088394,78,0.031,72,0.078945009,34,0.005901639,79,1320000,2,550,6,4.902452406,59,0.014584973,66,0.093404463,13,586.8295952,41,0.383687099,75,0.511369692,11,556.2881525,16,34026.2,0.980280622,3,0.974544073,2,0.987101669,5,0.268332224,75,0.694993998,3,0.460123976,75,0.058811802,62,0.093291,60,0.029196,72,0.69,68,0.56,78,0.321365,79,0.251418,79,0.40612,79,500.8642711,463.0429524,540.5732253,12.1292926,56,11.78712384,77,0.607644522,50,0.949813282,53,0.454258526,19,2.69605385,30
